partida_id,clube_casa_id,clube_casa_posicao,clube_visitante_id,aproveitamento_mandante,aproveitamento_visitante,clube_visitante_posicao,partida_data,timestamp,local,valida,placar_oficial_mandante,placar_oficial_visitante,campeonato_id,rodada_id
302573,275,5,1371,"['v', 'd', 'd', 'e', 'e']","['e', 'd', 'd', 'v', 'e']",14,2023-04-15 16:00:00,1681585200,Allianz Parque,True,2,1,26.0,1.0
302580,327,20,266,"['e', 'd', 'd', 'e', 'd']","['e', 'e', 'v', 'd', 'v']",4,2023-04-15 16:00:00,1681585200,Independência,True,0,3,26.0,1.0
302572,263,1,276,"['v', 'v', 'v', 'v', 'v']","['d', 'v', 'd', 'v', 'e']",8,2023-04-15 18:30:00,1681594200,Nilton Santos (Engenhão),True,2,1,26.0,1.0
302575,280,6,265,"['e', 'v', 'v', 'v', 'e']","['e', 'v', 'd', 'd', 'e']",16,2023-04-15 18:30:00,1681594200,Nabi Abi Chedid,True,2,1,26.0,1.0
302578,293,11,290,"['e', 'd', 'v', 'e', 'd']","['e', 'v', 'd', 'd', 'd']",17,2023-04-15 18:30:00,1681594200,Arena da Baixada,True,2,0,26.0,1.0
302579,356,7,285,"['d', 'v', 'v', 'd', 'v']","['v', 'v', 'v', 'e', 'd']",10,2023-04-15 18:30:00,1681594200,Castelão (CE),True,1,1,26.0,1.0
302576,282,12,267,"['e', 'e', 'd', 'e', 'd']","['d', 'd', 'v', 'd', 'd']",19,2023-04-15 21:00:00,1681603200,Mineirão,True,1,2,26.0,1.0
302571,262,2,294,"['v', 'd', 'v', 'v', 'e']","['e', 'd', 'd', 'v', 'v']",18,2023-04-16 16:00:00,1681671600,Maracanã,True,3,0,26.0,1.0
302574,264,15,283,"['e', 'v', 'd', 'd', 'v']","['e', 'd', 'v', 'e', 'v']",9,2023-04-16 16:00:00,1681671600,Neo Química Arena,True,2,1,26.0,1.0
302577,284,3,277,"['d', 'v', 'v', 'v', 'd']","['e', 'd', 'd', 'd', 'v']",13,2023-04-16 18:30:00,1681680600,Alfredo Jaconi,True,1,0,26.0,1.0
302591,266,4,293,"['e', 'e', 'v', 'd', 'v']","['e', 'd', 'v', 'e', 'd']",11,2023-04-22 16:00:00,1682190000,Maracanã,True,2,0,26.0,2.0
302593,276,8,327,"['d', 'v', 'd', 'v', 'e']","['e', 'd', 'd', 'e', 'd']",20,2023-04-22 18:30:00,1682199000,Morumbi,True,3,0,26.0,2.0
302600,1371,14,280,"['e', 'd', 'd', 'v', 'e']","['e', 'v', 'v', 'v', 'e']",6,2023-04-22 18:30:00,1682199000,Arena Pantanal,True,1,1,26.0,2.0
302596,283,9,284,"['e', 'd', 'v', 'e', 'v']","['d', 'v', 'v', 'v', 'd']",3,2023-04-22 21:00:00,1682208000,Independência,True,1,0,26.0,2.0
302597,285,10,262,"['v', 'v', 'v', 'e', 'd']","['v', 'd', 'v', 'v', 'e']",2,2023-04-23 11:00:00,1682258400,Beira-Rio,True,2,1,26.0,2.0
302592,267,19,275,"['d', 'd', 'v', 'd', 'd']","['v', 'd', 'd', 'e', 'e']",5,2023-04-23 16:00:00,1682276400,Maracanã,True,2,2,26.0,2.0
302594,277,13,282,"['e', 'd', 'd', 'd', 'v']","['e', 'e', 'd', 'e', 'd']",12,2023-04-23 16:00:00,1682276400,Vila Belmiro,True,0,0,26.0,2.0
302598,294,18,356,"['e', 'd', 'd', 'v', 'v']","['d', 'v', 'v', 'd', 'v']",7,2023-04-23 18:30:00,1682285400,Couto Pereira,True,0,3,26.0,2.0
302595,290,17,264,"['e', 'v', 'd', 'd', 'd']","['e', 'v', 'd', 'd', 'v']",15,2023-04-23 19:00:00,1682287200,Hailé Pinheiro (Serrinha),True,3,1,26.0,2.0
302599,265,16,263,"['e', 'v', 'd', 'd', 'e']","['v', 'v', 'v', 'v', 'v']",1,2023-04-24 20:00:00,1682377200,Itaipava Arena Fonte Nova,True,1,2,26.0,2.0
302618,294,18,276,"['e', 'd', 'd', 'v', 'v']","['d', 'v', 'd', 'v', 'e']",8,2023-04-29 16:30:00,1682796600,Couto Pereira,True,1,1,26.0,3.0
302619,356,7,266,"['d', 'v', 'v', 'd', 'v']","['e', 'e', 'v', 'd', 'v']",4,2023-04-29 16:30:00,1682796600,Castelão (CE),True,4,2,26.0,3.0
302613,275,5,264,"['v', 'd', 'd', 'e', 'e']","['e', 'v', 'd', 'd', 'v']",15,2023-04-29 18:30:00,1682803800,Allianz Parque,True,2,1,26.0,3.0
302614,277,13,327,"['e', 'd', 'd', 'd', 'v']","['e', 'd', 'd', 'e', 'd']",20,2023-04-29 18:30:00,1682803800,Vila Belmiro,True,3,2,26.0,3.0
302615,280,6,283,"['e', 'v', 'v', 'v', 'e']","['e', 'd', 'v', 'e', 'v']",9,2023-04-29 18:30:00,1682803800,Nabi Abi Chedid,True,0,3,26.0,3.0
302616,282,12,293,"['e', 'e', 'd', 'e', 'd']","['e', 'd', 'v', 'e', 'd']",11,2023-04-29 21:00:00,1682812800,Independência,True,2,1,26.0,3.0
302611,262,2,263,"['v', 'd', 'v', 'v', 'e']","['v', 'v', 'v', 'v', 'v']",1,2023-04-30 16:00:00,1682881200,Maracanã,True,2,3,26.0,3.0
302617,285,10,290,"['v', 'v', 'v', 'e', 'd']","['e', 'v', 'd', 'd', 'd']",17,2023-04-30 18:30:00,1682890200,Beira-Rio,True,1,0,26.0,3.0
302620,1371,14,284,"['e', 'd', 'd', 'v', 'e']","['d', 'v', 'v', 'v', 'd']",3,2023-04-30 18:30:00,1682890200,Arena Pantanal,True,1,2,26.0,3.0
