rod_num,clube_name,opposing_team_name,player_name,shirt_number,nationality,position_fbref,age,minutes_played,duelos_aereos_vencidos,duelos_aereos_perdidos,%_duelos_vencidos,divididas,divididas_vencidas,divididas_first_third,divididas_mid_third,divididas_last_third,bloqueios,bloqueios_chutes,bloqueios_passes,rasgadas_de_bola,erros_para_chute_adv,passes_attempt,passes_attempt.1,passes_bola_rolando,passes_bola_parada,passes_faltas,passes_lancamento,passes_virada_jogo,cruzamentos,passes_laterais,escanteios,escanteios_fechados,escanteios_abertos,escanteios_retos,passes_completed,passes_completed.1,passes_impedimento,passes_bloqueados,passes_accuracy_%,total_distance_passes,total_forward_distance_passes,short_passes_completed,short_passes_attempt,short_passes_accuracy_%,medium_passes_completed,medium_passes_attempt,medium_passes_accuracy_%,long_passes_completed,long_passes_attempt,long_passes_accuracy_%,A,xag,xA,assisted_shots,passes_in_last_third,passes_into_adv_area,crosses_into_adv_area,progressive_passes,G,penalty_goals,penltay_attempt,F,FD,CA,CV,ball_touches,intercepctacoes,blocks,xg,npxg,sca,gca,passes_completed.2,passes_completed.3,passes_attempt.2,passes_attempt.3,ball_carries,progressive_ball_carries,dribles_attempt,dribles_success,atleta_id
8,Cruzeiro,Flamengo,Luciano Castán,4.0,br BRA,CB,33-256,90,1.0,0.0,100.0,1.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,46.0,46.0,41.0,5.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,0.0,91.3,896.0,452.0,11.0,11.0,100.0,25.0,27.0,92.6,6.0,8.0,75.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,50.0,1,1.0,0.0,0.0,0.0,0.0,42.0,42.0,46.0,46.0,35.0,0.0,1.0,1.0,68942
8,Cruzeiro,Flamengo,Lucas Oliveira,6.0,br BRA,CB,27-114,90,2.0,0.0,100.0,1.0,0,1.0,0.0,0.0,2.0,2.0,0.0,8.0,0.0,35.0,35.0,29.0,5.0,5.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,1.0,0.0,74.3,549.0,239.0,7.0,9.0,77.8,14.0,18.0,77.8,5.0,6.0,83.3,0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0,0,0,0,0,0,0,50.0,3,2.0,0.0,0.0,1.0,0.0,26.0,26.0,35.0,35.0,24.0,0.0,0.0,0.0,94514
8,Cruzeiro,Flamengo,Igor Marques,33.0,br BRA,RB,24-139,57,1.0,0.0,100.0,3.0,2,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,29.0,29.0,26.0,3.0,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,1.0,62.1,272.0,65.0,10.0,16.0,62.5,7.0,10.0,70.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0,0,0,0,0,1,0,34.0,1,0.0,0.0,0.0,2.0,0.0,18.0,18.0,29.0,29.0,18.0,2.0,0.0,0.0,106708
8,Cruzeiro,Flamengo,William,12.0,br BRA,RB,28-054,33,0.0,0.0,,2.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,12.0,3.0,1.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,80.0,228.0,103.0,5.0,6.0,83.3,5.0,7.0,71.4,2.0,2.0,100.0,0,0.2,0.0,1.0,2.0,1.0,0.0,2.0,0,0,0,1,0,1,0,19.0,0,0.0,0.1,0.1,2.0,0.0,12.0,12.0,15.0,15.0,12.0,1.0,2.0,1.0,89275
8,Corinthians,Fluminense,Roger Guedes,10.0,br BRA,"FW,LM",26-238,90,2.0,1.0,66.7,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,77.8,178.0,57.0,12.0,13.0,92.3,1.0,3.0,33.3,1.0,1.0,100.0,0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2,0,0,4,2,0,0,29.0,0,0.0,1.1,1.1,2.0,0.0,14.0,14.0,18.0,18.0,12.0,1.0,1.0,0.0,89898
8,Corinthians,Fluminense,Yuri Alberto,9.0,br BRA,FW,22-071,89,2.0,5.0,28.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,18.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,2.0,57.9,150.0,13.0,8.0,10.0,80.0,3.0,6.0,50.0,0.0,0.0,,1,0.9,0.6,2.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,27.0,0,0.0,0.1,0.1,2.0,1.0,11.0,11.0,19.0,19.0,16.0,3.0,3.0,2.0,100652
8,Corinthians,Fluminense,Felipe Augusto,41.0,br BRA,FW,19-099,1,0.0,0.0,,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,111408
8,Corinthians,Fluminense,Maycon,7.0,br BRA,LM,25-317,72,1.0,1.0,50.0,0.0,0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,28.0,28.0,27.0,1.0,0.0,0.0,0.0,2,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,1.0,75.0,246.0,27.0,12.0,14.0,85.7,7.0,8.0,87.5,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,2,1,0,0,43.0,0,2.0,0.1,0.1,0.0,0.0,21.0,21.0,28.0,28.0,22.0,1.0,1.0,0.0,94154
8,Corinthians,Fluminense,Renato Augusto,8.0,br BRA,"FW,LM",35-109,18,1.0,0.0,100.0,2.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,75.0,73.0,31.0,1.0,1.0,100.0,1.0,2.0,50.0,1.0,1.0,100.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,11.0,2,0.0,0.0,0.0,2.0,1.0,3.0,3.0,4.0,4.0,5.0,0.0,1.0,0.0,38398
8,Corinthians,Fluminense,Budiga Roni,29.0,br BRA,CM,24-043,90,0.0,1.0,0.0,4.0,3,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,41.0,41.0,39.0,2.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,87.8,579.0,163.0,19.0,20.0,95.0,11.0,14.0,78.6,4.0,4.0,100.0,0,0.1,0.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,48.0,0,1.0,0.0,0.0,3.0,0.0,36.0,36.0,41.0,41.0,22.0,0.0,0.0,0.0,105585
8,Corinthians,Fluminense,Fausto Vera,5.0,ar ARG,CM,23-063,89,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,42.0,42.0,40.0,2.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,1.0,85.7,599.0,100.0,19.0,20.0,95.0,15.0,16.0,93.8,2.0,5.0,40.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,1,0,56.0,1,4.0,0.0,0.0,0.0,0.0,36.0,36.0,42.0,42.0,30.0,1.0,2.0,1.0,107950
8,Corinthians,Fluminense,Giuliano de Paula,20.0,br BRA,CM,32-362,1,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51548
8,Corinthians,Fluminense,Adson,28.0,br BRA,RM,22-234,83,1.0,0.0,100.0,4.0,3,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,63.6,217.0,74.0,7.0,11.0,63.6,5.0,9.0,55.6,1.0,1.0,100.0,0,0.1,0.0,2.0,1.0,2.0,0.0,5.0,0,0,0,2,0,0,0,29.0,1,2.0,0.0,0.0,5.0,0.0,14.0,14.0,22.0,22.0,15.0,4.0,1.0,1.0,111682
8,Corinthians,Fluminense,Wesley Ribeiro,36.0,br BRA,RM,18-084,7,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117909
8,Corinthians,Fluminense,Matheus Bidu,21.0,br BRA,LB,24-024,90,0.0,2.0,0.0,1.0,1,0.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,41.0,41.0,28.0,13.0,1.0,0.0,0.0,9,7.0,5.0,0.0,5.0,0.0,26.0,26.0,0.0,0.0,63.4,381.0,199.0,19.0,24.0,79.2,3.0,4.0,75.0,3.0,11.0,27.3,0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,0,0,0,2,1,1,0,56.0,2,2.0,0.1,0.1,4.0,1.0,26.0,26.0,41.0,41.0,21.0,1.0,3.0,2.0,105531
