rodada_id,local,atleta_id,apelido,foto,pontuacao,posicao_id,posicao_nome,clube_id,clube_name,entrou_em_campo,opposing_team_id,opposing_team_name,DS,FC,FS,I,PI,A,FD,FF,CA,,G,FT,SG,DE,GS,PS,PC,GC,CV,PP,DP,scout,F,class_pontuacao
1,CASA,100079,Zaracho,https://s.sde.globo.com/media/person_role/2023/03/31/photo_220x220_wjGLEpf.png,0.1,4,mei,282,Atlético-MG,True,267,Vasco,1.0,3.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'CA': 1, 'DS': 1, 'FC': 3, 'FF': 1}",1.0,Ruim
1,CASA,100453,Luis Segovia,https://s.sde.globo.com/media/person_role/2023/03/07/photo_220x220_N5TAr8X.png,0.0,3,zag,263,Botafogo,True,276,São Paulo,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.0,Péssimo
1,CASA,100652,Yuri Alberto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_220x220_QVzSGOZ.png,3.2,5,ata,264,Corinthians,True,283,Cruzeiro,1.0,3.0,1.0,4.0,0,0.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'DS': 1, 'FC': 3, 'FD': 1, 'FF': 2, 'FS': 1, 'I': 4}",3.0,Médio
1,FORA,100761,Liziero,https://s.sde.globo.com/media/person_role/2023/02/28/photo_220x220_NUUHkjY.png,2.4,4,mei,294,Coritiba,True,262,Flamengo,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'DS': 2},0.0,Médio
1,CASA,101002,Júnior Santos,https://s.sde.globo.com/media/person_role/2023/03/31/photo_220x220_20JkUu3.png,1.0,5,ata,263,Botafogo,True,276,São Paulo,0.0,1.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'FC': 1, 'FF': 1, 'FS': 1}",1.0,Ruim
1,FORA,101027,Diego,https://s.sde.globo.com/media/person_role/2023/03/11/photo_220x220_50P80kB.png,3.2,4,mei,290,Goiás,True,293,Athlético-PR,1.0,2.0,2.0,0.0,0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'DS': 1, 'FC': 2, 'FF': 2, 'FS': 2}",2.0,Médio
1,FORA,101201,Vitor Jacaré,https://s.sde.globo.com/media/person_role/2023/02/27/photo_220x220_GdFbYPn.png,10.4,5,ata,265,Bahia,True,280,Bragantino,6.0,2.0,4.0,0.0,0,0.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'CA': 1, 'DS': 6, 'FC': 2, 'FD': 1, 'FF': 2, 'FS': 4}",3.0,Mitou
1,FORA,101254,Alef Manga,https://s.sde.globo.com/media/person_role/2023/02/28/photo_220x220_o07AeW3.png,1.3,5,ata,294,Coritiba,True,262,Flamengo,1.0,3.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'DS': 1, 'FC': 3, 'FS': 2}",0.0,Ruim
1,FORA,101314,Ademir,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AYMEKre.png,2.8,5,ata,265,Bahia,True,280,Bragantino,0.0,1.0,4.0,1.0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'FC': 1, 'FD': 1, 'FS': 4, 'I': 1}",1.0,Médio
1,FORA,101319,Guga,https://s.sde.globo.com/media/person_role/2023/05/09/photo_220x220_XX1WP8Y.png,7.2,2,lat,266,Fluminense,True,327,América-MG,1.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'DS': 1, 'FS': 2, 'SG': 1}",0.0,Bom
1,FORA,101579,Robson Bambu,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_duKaGjT.png,0.9,3,zag,267,Vasco,True,282,Atlético-MG,1.0,1.0,2.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'CA': 1, 'DS': 1, 'FC': 1, 'FS': 2}",0.0,Ruim
1,CASA,101594,Hugo Moura,https://s.sde.globo.com/media/person_role/2023/02/28/photo_220x220_xmqFuth.png,4.3,4,mei,293,Athlético-PR,True,290,Goiás,3.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'DS': 3, 'FC': 1, 'FS': 2}",0.0,Médio
1,FORA,101684,Philippe Costa,https://s.sde.globo.com/media/person_role/2023/03/11/photo_220x220_kiizDTZ.png,0.0,5,ata,290,Goiás,True,293,Athlético-PR,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.0,Péssimo
