partida_id,clube_casa_id,clube_casa_posicao,clube_visitante_id,aproveitamento_mandante,aproveitamento_visitante,clube_visitante_posicao,partida_data,timestamp,local,valida,placar_oficial_mandante,placar_oficial_visitante,campeonato_id,rodada_id
302573,275,2,1371,"['v', 'v', 'd', 'v', 'v']","['v', 'v', 'v', 'd', 'd']",9,2023-04-15 16:00:00,1681585200,Allianz Parque,True,2,1,26.0,1.0
302580,327,20,266,"['e', 'd', 'd', 'd', 'd']","['d', 'v', 'v', 'd', 'v']",4,2023-04-15 16:00:00,1681585200,Independência,True,0,3,26.0,1.0
302572,263,1,276,"['e', 'v', 'e', 'v', 'e']","['d', 'e', 'd', 'e', 'e']",10,2023-04-15 18:30:00,1681594200,Nilton Santos (Engenhão),True,2,1,26.0,1.0
302575,280,7,265,"['e', 'v', 'v', 'e', 'd']","['e', 'e', 'v', 'd', 'v']",16,2023-04-15 18:30:00,1681594200,Nabi Abi Chedid,True,2,1,26.0,1.0
302578,293,6,290,"['v', 'e', 'e', 'v', 'e']","['v', 'e', 'v', 'v', 'e']",15,2023-04-15 18:30:00,1681594200,Arena da Baixada,True,2,0,26.0,1.0
302579,356,8,285,"['d', 'd', 'd', 'v', 'v']","['e', 'd', 'e', 'd', 'd']",14,2023-04-15 18:30:00,1681594200,Castelão (CE),True,1,1,26.0,1.0
302576,282,11,267,"['d', 'd', 'v', 'v', 'd']","['d', 'd', 'v', 'e', 'v']",18,2023-04-15 21:00:00,1681603200,Mineirão,True,1,2,26.0,1.0
302571,262,3,294,"['e', 'v', 'd', 'e', 'v']","['v', 'd', 'd', 'd', 'd']",19,2023-04-16 16:00:00,1681671600,Maracanã,True,3,0,26.0,1.0
302574,264,13,283,"['e', 'v', 'e', 'v', 'e']","['d', 'e', 'e', 'd', 'e']",12,2023-04-16 16:00:00,1681671600,Neo Química Arena,True,2,1,26.0,1.0
302577,284,5,277,"['v', 'e', 'd', 'v', 'd']","['e', 'd', 'e', 'd', 'v']",17,2023-04-16 18:30:00,1681680600,Alfredo Jaconi,True,1,0,26.0,1.0
302591,266,4,293,"['d', 'v', 'v', 'd', 'v']","['v', 'e', 'e', 'v', 'e']",6,2023-04-22 16:00:00,1682190000,Maracanã,True,2,0,26.0,2.0
302593,276,10,327,"['d', 'e', 'd', 'e', 'e']","['e', 'd', 'd', 'd', 'd']",20,2023-04-22 18:30:00,1682199000,Morumbi,True,3,0,26.0,2.0
302600,1371,9,280,"['v', 'v', 'v', 'd', 'd']","['e', 'v', 'v', 'e', 'd']",7,2023-04-22 18:30:00,1682199000,Arena Pantanal,True,1,1,26.0,2.0
302596,283,12,284,"['d', 'e', 'e', 'd', 'e']","['v', 'e', 'd', 'v', 'd']",5,2023-04-22 21:00:00,1682208000,Independência,True,1,0,26.0,2.0
302597,285,14,262,"['e', 'd', 'e', 'd', 'd']","['e', 'v', 'd', 'e', 'v']",3,2023-04-23 11:00:00,1682258400,Beira-Rio,True,2,1,26.0,2.0
302592,267,18,275,"['d', 'd', 'v', 'e', 'v']","['v', 'v', 'd', 'v', 'v']",2,2023-04-23 16:00:00,1682276400,Maracanã,True,2,2,26.0,2.0
302594,277,17,282,"['e', 'd', 'e', 'd', 'v']","['d', 'd', 'v', 'v', 'd']",11,2023-04-23 16:00:00,1682276400,Vila Belmiro,True,0,0,26.0,2.0
302598,294,19,356,"['v', 'd', 'd', 'd', 'd']","['d', 'd', 'd', 'v', 'v']",8,2023-04-23 18:30:00,1682285400,Couto Pereira,True,0,3,26.0,2.0
302595,290,15,264,"['v', 'e', 'v', 'v', 'e']","['e', 'v', 'e', 'v', 'e']",13,2023-04-23 19:00:00,1682287200,Hailé Pinheiro (Serrinha),True,3,1,26.0,2.0
302599,265,16,263,"['e', 'e', 'v', 'd', 'v']","['e', 'v', 'e', 'v', 'e']",1,2023-04-24 20:00:00,1682377200,Itaipava Arena Fonte Nova,True,1,2,26.0,2.0
302618,294,19,276,"['v', 'd', 'd', 'd', 'd']","['d', 'e', 'd', 'e', 'e']",10,2023-04-29 16:30:00,1682796600,Couto Pereira,True,1,1,26.0,3.0
302619,356,8,266,"['d', 'd', 'd', 'v', 'v']","['d', 'v', 'v', 'd', 'v']",4,2023-04-29 16:30:00,1682796600,Castelão (CE),True,4,2,26.0,3.0
302613,275,2,264,"['v', 'v', 'd', 'v', 'v']","['e', 'v', 'e', 'v', 'e']",13,2023-04-29 18:30:00,1682803800,Allianz Parque,True,2,1,26.0,3.0
302614,277,17,327,"['e', 'd', 'e', 'd', 'v']","['e', 'd', 'd', 'd', 'd']",20,2023-04-29 18:30:00,1682803800,Vila Belmiro,True,3,2,26.0,3.0
302615,280,7,283,"['e', 'v', 'v', 'e', 'd']","['d', 'e', 'e', 'd', 'e']",12,2023-04-29 18:30:00,1682803800,Nabi Abi Chedid,True,0,3,26.0,3.0
302616,282,11,293,"['d', 'd', 'v', 'v', 'd']","['v', 'e', 'e', 'v', 'e']",6,2023-04-29 21:00:00,1682812800,Independência,True,2,1,26.0,3.0
302611,262,3,263,"['e', 'v', 'd', 'e', 'v']","['e', 'v', 'e', 'v', 'e']",1,2023-04-30 16:00:00,1682881200,Maracanã,True,2,3,26.0,3.0
302617,285,14,290,"['e', 'd', 'e', 'd', 'd']","['v', 'e', 'v', 'v', 'e']",15,2023-04-30 18:30:00,1682890200,Beira-Rio,True,1,0,26.0,3.0
302620,1371,9,284,"['v', 'v', 'v', 'd', 'd']","['v', 'e', 'd', 'v', 'd']",5,2023-04-30 18:30:00,1682890200,Arena Pantanal,True,1,2,26.0,3.0
302612,267,18,265,"['d', 'd', 'v', 'e', 'v']","['e', 'e', 'v', 'd', 'v']",16,2023-05-01 20:00:00,1682982000,São Januário,True,0,1,26.0,3.0
302646,283,12,277,"['d', 'e', 'e', 'd', 'e']","['e', 'd', 'e', 'd', 'v']",17,2023-05-06 16:00:00,1683399600,Independência,True,2,1,26.0,4.0
302641,266,4,267,"['d', 'v', 'v', 'd', 'v']","['d', 'd', 'v', 'e', 'v']",18,2023-05-06 21:00:00,1683417600,Maracanã,True,1,1,26.0,4.0
302650,327,20,1371,"['e', 'd', 'd', 'd', 'd']","['v', 'v', 'v', 'd', 'd']",9,2023-05-07 11:00:00,1683468000,Independência,True,1,2,26.0,4.0
302643,276,10,285,"['d', 'e', 'd', 'e', 'e']","['e', 'd', 'e', 'd', 'd']",14,2023-05-07 16:00:00,1683486000,Morumbi,True,2,0,26.0,4.0
302648,293,6,262,"['v', 'e', 'e', 'v', 'e']","['e', 'v', 'd', 'e', 'v']",3,2023-05-07 16:00:00,1683486000,Arena da Baixada,True,2,1,26.0,4.0
302649,265,16,294,"['e', 'e', 'v', 'd', 'v']","['v', 'd', 'd', 'd', 'd']",19,2023-05-07 16:00:00,1683486000,Itaipava Arena Fonte Nova,True,3,1,26.0,4.0
302642,263,1,282,"['e', 'v', 'e', 'v', 'e']","['d', 'd', 'v', 'v', 'd']",11,2023-05-07 18:30:00,1683495000,Nilton Santos (Engenhão),True,2,0,26.0,4.0
302645,290,15,275,"['v', 'e', 'v', 'v', 'e']","['v', 'v', 'd', 'v', 'v']",2,2023-05-07 18:30:00,1683495000,Hailé Pinheiro (Serrinha),True,0,5,26.0,4.0
302647,284,5,280,"['v', 'e', 'd', 'v', 'd']","['e', 'v', 'v', 'e', 'd']",7,2023-05-07 18:30:00,1683495000,Arena do Grêmio,True,3,3,26.0,4.0
302644,264,13,356,"['e', 'v', 'e', 'v', 'e']","['d', 'd', 'd', 'v', 'v']",8,2023-05-08 20:00:00,1683586800,Neo Química Arena,True,1,1,26.0,4.0
302661,277,17,265,"['e', 'd', 'e', 'd', 'v']","['e', 'e', 'v', 'd', 'v']",16,2023-05-10 19:00:00,1683756000,Vila Belmiro,True,3,0,26.0,5.0
302663,280,7,327,"['e', 'v', 'v', 'e', 'd']","['e', 'd', 'd', 'd', 'd']",20,2023-05-10 19:00:00,1683756000,Nabi Abi Chedid,True,2,2,26.0,5.0
302667,285,14,293,"['e', 'd', 'e', 'd', 'd']","['v', 'e', 'e', 'v', 'e']",6,2023-05-10 19:00:00,1683756000,Beira-Rio,True,0,2,26.0,5.0
302655,262,3,290,"['e', 'v', 'd', 'e', 'v']","['v', 'e', 'v', 'v', 'e']",15,2023-05-10 20:00:00,1683759600,Maracanã,True,2,0,26.0,5.0
302670,1371,9,282,"['v', 'v', 'v', 'd', 'd']","['d', 'd', 'v', 'v', 'd']",11,2023-05-10 20:00:00,1683759600,Arena Pantanal,True,0,4,26.0,5.0
302659,275,2,284,"['v', 'v', 'd', 'v', 'v']","['v', 'e', 'd', 'v', 'd']",5,2023-05-10 21:30:00,1683765000,Allianz Parque,True,4,1,26.0,5.0
302666,283,12,266,"['d', 'e', 'e', 'd', 'e']","['d', 'v', 'v', 'd', 'v']",4,2023-05-10 21:30:00,1683765000,Mineirão,True,0,2,26.0,5.0
302668,294,19,267,"['v', 'd', 'd', 'd', 'd']","['d', 'd', 'v', 'e', 'v']",18,2023-05-11 19:00:00,1683842400,Couto Pereira,True,1,1,26.0,5.0
302657,263,1,264,"['e', 'v', 'e', 'v', 'e']","['e', 'v', 'e', 'v', 'e']",13,2023-05-11 19:30:00,1683844200,Nilton Santos (Engenhão),True,3,0,26.0,5.0
302669,356,8,276,"['d', 'd', 'd', 'v', 'v']","['d', 'e', 'd', 'e', 'e']",10,2023-05-11 20:00:00,1683846000,Castelão (CE),True,0,0,26.0,5.0
302699,265,16,262,"['e', 'e', 'v', 'd', 'v']","['e', 'v', 'd', 'e', 'v']",3,2023-05-13 16:00:00,1684004400,Itaipava Arena Fonte Nova,True,2,3,26.0,6.0
302691,266,4,1371,"['d', 'v', 'v', 'd', 'v']","['v', 'v', 'v', 'd', 'd']",9,2023-05-13 18:30:00,1684013400,Maracanã,True,2,0,26.0,6.0
302693,275,2,280,"['v', 'v', 'd', 'v', 'v']","['e', 'v', 'v', 'e', 'd']",7,2023-05-13 18:30:00,1684013400,Allianz Parque,True,1,1,26.0,6.0
302696,282,11,285,"['d', 'd', 'v', 'v', 'd']","['e', 'd', 'e', 'd', 'd']",14,2023-05-13 21:00:00,1684022400,Mineirão,True,2,0,26.0,6.0
302692,267,18,277,"['d', 'd', 'v', 'e', 'v']","['e', 'd', 'e', 'd', 'v']",17,2023-05-14 16:00:00,1684090800,São Januário,True,0,1,26.0,6.0
302694,264,13,276,"['e', 'v', 'e', 'v', 'e']","['d', 'e', 'd', 'e', 'e']",10,2023-05-14 16:00:00,1684090800,Neo Química Arena,True,1,1,26.0,6.0
302697,284,5,356,"['v', 'e', 'd', 'v', 'd']","['d', 'd', 'd', 'v', 'v']",8,2023-05-14 16:00:00,1684090800,Arena do Grêmio,True,0,0,26.0,6.0
302695,290,15,263,"['v', 'e', 'v', 'v', 'e']","['e', 'v', 'e', 'v', 'e']",1,2023-05-14 18:30:00,1684099800,Hailé Pinheiro (Serrinha),True,2,1,26.0,6.0
302698,293,6,294,"['v', 'e', 'e', 'v', 'e']","['v', 'd', 'd', 'd', 'd']",19,2023-05-14 18:30:00,1684099800,Arena da Baixada,True,3,2,26.0,6.0
302700,327,20,283,"['e', 'd', 'd', 'd', 'd']","['d', 'e', 'e', 'd', 'e']",12,2023-05-14 18:30:00,1684099800,Independência,True,0,4,26.0,6.0
302719,265,16,290,"['e', 'e', 'v', 'd', 'v']","['v', 'e', 'v', 'v', 'e']",15,2023-05-20 16:00:00,1684609200,Itaipava Arena Fonte Nova,True,1,1,26.0,7.0
302712,263,1,266,"['e', 'v', 'e', 'v', 'e']","['d', 'v', 'v', 'd', 'v']",4,2023-05-20 18:30:00,1684618200,Nilton Santos (Engenhão),True,1,0,26.0,7.0
302713,276,10,267,"['d', 'e', 'd', 'e', 'e']","['d', 'd', 'v', 'e', 'v']",18,2023-05-20 18:30:00,1684618200,Morumbi,True,4,2,26.0,7.0
302715,280,7,293,"['e', 'v', 'v', 'e', 'd']","['v', 'e', 'e', 'v', 'e']",6,2023-05-20 18:30:00,1684618200,Nabi Abi Chedid,True,2,0,26.0,7.0
302718,294,19,282,"['v', 'd', 'd', 'd', 'd']","['d', 'd', 'v', 'v', 'd']",11,2023-05-20 18:30:00,1684618200,Couto Pereira,True,1,2,26.0,7.0
302720,327,20,356,"['e', 'd', 'd', 'd', 'd']","['d', 'd', 'd', 'v', 'v']",8,2023-05-20 18:30:00,1684618200,Independência,True,2,1,26.0,7.0
302714,277,17,275,"['e', 'd', 'e', 'd', 'v']","['v', 'v', 'd', 'v', 'v']",2,2023-05-20 21:00:00,1684627200,Vila Belmiro,True,0,0,26.0,7.0
302711,262,3,264,"['e', 'v', 'd', 'e', 'v']","['e', 'v', 'e', 'v', 'e']",13,2023-05-21 16:00:00,1684695600,Maracanã,True,1,0,26.0,7.0
302717,284,5,285,"['v', 'e', 'd', 'v', 'd']","['e', 'd', 'e', 'd', 'd']",14,2023-05-21 18:30:00,1684704600,Arena do Grêmio,True,3,1,26.0,7.0
302716,283,12,1371,"['d', 'e', 'e', 'd', 'e']","['v', 'v', 'v', 'd', 'd']",9,2023-05-22 20:00:00,1684796400,Arena do Jacaré,True,0,1,26.0,7.0
302744,293,6,284,"['v', 'e', 'e', 'v', 'e']","['v', 'e', 'd', 'v', 'd']",5,2023-05-27 16:00:00,1685214000,Arena da Baixada,True,1,2,26.0,8.0
302745,356,8,267,"['d', 'd', 'd', 'v', 'v']","['d', 'd', 'v', 'e', 'v']",18,2023-05-27 16:00:00,1685214000,Castelão (CE),True,2,0,26.0,8.0
302737,262,3,283,"['e', 'v', 'd', 'e', 'v']","['d', 'e', 'e', 'd', 'e']",12,2023-05-27 18:30:00,1685223000,Maracanã,True,1,1,26.0,8.0
302746,1371,9,294,"['v', 'v', 'v', 'd', 'd']","['v', 'd', 'd', 'd', 'd']",19,2023-05-27 18:30:00,1685223000,Arena Pantanal,True,1,1,26.0,8.0
302739,276,10,290,"['d', 'e', 'd', 'e', 'e']","['v', 'e', 'v', 'v', 'e']",15,2023-05-27 21:00:00,1685232000,Morumbi,True,2,1,26.0,8.0
302740,264,13,266,"['e', 'v', 'e', 'v', 'e']","['d', 'v', 'v', 'd', 'v']",4,2023-05-28 16:00:00,1685300400,Neo Química Arena,True,2,0,26.0,8.0
