,status,fix_id,home_team_id,home_team_name,home_team_logo,away_team_id,away_team_nome,away_team_logo,rod_num
138,Final,206780,1024,Fortaleza,https://frontendapiapp.blob.core.windows.net/images/88x88/fortaleza.png,1010,Athletico-PR,https://frontendapiapp.blob.core.windows.net/images/88x88/athletico-pr.png,14
139,Final,206840,1008,Coritiba,https://frontendapiapp.blob.core.windows.net/images/88x88/coritiba.png,1085,América-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/america-mg.png,14
140,Final,206501,1007,São Paulo,https://frontendapiapp.blob.core.windows.net/images/88x88/sao-paulo.png,1011,Santos,https://frontendapiapp.blob.core.windows.net/images/88x88/santos.png,15
141,Final,206600,1006,Fluminense,https://frontendapiapp.blob.core.windows.net/images/88x88/fluminense.png,1005,Flamengo,https://frontendapiapp.blob.core.windows.net/images/88x88/flamengo.png,15
142,Final,206631,1017,Cruzeiro,https://frontendapiapp.blob.core.windows.net/images/88x88/cruzeiro.png,1008,Coritiba,https://frontendapiapp.blob.core.windows.net/images/88x88/coritiba.png,15
143,Final,206655,1003,Botafogo,https://frontendapiapp.blob.core.windows.net/images/88x88/botafogo.png,1055,Red Bull Bragantino,https://frontendapiapp.blob.core.windows.net/images/88x88/bragantino.png,15
144,Final,206736,1014,Goiás,https://frontendapiapp.blob.core.windows.net/images/88x88/goias.png,1009,Atlético-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/atletico-mg.png,15
145,Final,206757,1010,Athletico-PR,https://frontendapiapp.blob.core.windows.net/images/88x88/athletico-pr.png,1250,Bahia,https://frontendapiapp.blob.core.windows.net/images/88x88/bahia.png,15
146,Final,206777,1024,Fortaleza,https://frontendapiapp.blob.core.windows.net/images/88x88/fortaleza.png,1755,Cuiabá,https://frontendapiapp.blob.core.windows.net/images/88x88/cuiaba.png,15
147,Final,206784,1018,Internacional,https://frontendapiapp.blob.core.windows.net/images/88x88/internacional.png,1012,Palmeiras,https://frontendapiapp.blob.core.windows.net/images/88x88/palmeiras.png,15
148,Final,206476,1012,Palmeiras,https://frontendapiapp.blob.core.windows.net/images/88x88/palmeiras.png,1024,Fortaleza,https://frontendapiapp.blob.core.windows.net/images/88x88/fortaleza.png,16
149,Final,206527,1011,Santos,https://frontendapiapp.blob.core.windows.net/images/88x88/santos.png,1003,Botafogo,https://frontendapiapp.blob.core.windows.net/images/88x88/botafogo.png,16
150,Final,206553,1055,Red Bull Bragantino,https://frontendapiapp.blob.core.windows.net/images/88x88/bragantino.png,1018,Internacional,https://frontendapiapp.blob.core.windows.net/images/88x88/internacional.png,16
151,Final,206570,1015,Vasco,https://frontendapiapp.blob.core.windows.net/images/88x88/vasco.png,1010,Athletico-PR,https://frontendapiapp.blob.core.windows.net/images/88x88/athletico-pr.png,16
152,Final,206592,1005,Flamengo,https://frontendapiapp.blob.core.windows.net/images/88x88/flamengo.png,1085,América-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/america-mg.png,16
153,Final,206626,1017,Cruzeiro,https://frontendapiapp.blob.core.windows.net/images/88x88/cruzeiro.png,1014,Goiás,https://frontendapiapp.blob.core.windows.net/images/88x88/goias.png,16
154,Final,206671,1250,Bahia,https://frontendapiapp.blob.core.windows.net/images/88x88/bahia.png,1004,Corinthians,https://frontendapiapp.blob.core.windows.net/images/88x88/corinthians.png,16
155,Final,206691,1755,Cuiabá,https://frontendapiapp.blob.core.windows.net/images/88x88/cuiaba.png,1007,São Paulo,https://frontendapiapp.blob.core.windows.net/images/88x88/sao-paulo.png,16
156,Final,206717,1083,Grêmio,https://frontendapiapp.blob.core.windows.net/images/88x88/gremio.png,1009,Atlético-MG,https://frontendapiapp.blob.core.windows.net/images/88x88/atletico-mg.png,16
157,Final,206829,1008,Coritiba,https://frontendapiapp.blob.core.windows.net/images/88x88/coritiba.png,1006,Fluminense,https://frontendapiapp.blob.core.windows.net/images/88x88/fluminense.png,16
