rod_num,clube_name,opposing_team_name,player_name,nationality,age,minutes_played,chutes_recebidos_no_gol,GS,defesas,%_defesas,psxg,lancamentos_completos,lancamentos_attempt,lancamentos_sucesso_%,passes_attempt,passes_mao,%_passes_lancamento,distancia_media_lancamento,tiro_meta,lancamentos_tiro_meta,distancia_media_tiro_meta,cruzamentos_adv_area,cruzamentos_adv_area_interrompidos,cruzamentos_adv_area_interrompidos_%,acoes_defensivas_fora_area,distancia_media_acoes_defensivas,atleta_id
10,Botafogo,Fortaleza,Lucas Perri,br BRA,25-182,90,3,0.0,3,100.0,0.2,7.0,14.0,50.0,28.0,7.0,39.3,33.9,5.0,60.0,49.2,11.0,0.0,0.0,1.0,21.5,91260
10,Fortaleza,Botafogo,João Ricardo Riedi,br BRA,34-277,90,10,2.0,7,80.0,3.5,4.0,12.0,33.3,18.0,6.0,38.9,32.2,8.0,62.5,45.4,15.0,2.0,13.3,0.0,3.5,81881
11,São Paulo,Athlético-PR,Rafael Pires,br BRA,33-363,90,4,1.0,3,75.0,1.2,8.0,16.0,50.0,23.0,5.0,39.1,33.9,10.0,70.0,46.9,13.0,0.0,0.0,0.0,,68928
11,Athlético-PR,São Paulo,Bento,br BRA,24-011,90,5,2.0,3,60.0,0.9,2.0,8.0,25.0,18.0,4.0,27.8,32.6,6.0,50.0,38.3,13.0,0.0,0.0,4.0,28.0,105208
11,Cruzeiro,Fortaleza,Rafael Cabral,br BRA,33-032,90,2,1.0,1,50.0,1.0,2.0,3.0,66.7,24.0,4.0,12.5,27.3,7.0,0.0,24.3,5.0,0.0,0.0,0.0,12.3,68940
11,Fortaleza,Cruzeiro,João Ricardo Riedi,br BRA,34-288,90,3,0.0,3,100.0,1.0,7.0,17.0,41.2,11.0,5.0,45.5,44.3,14.0,85.7,52.7,25.0,1.0,4.0,0.0,7.0,81881
11,Santos,Corinthians,João Paulo,br BRA,27-357,90,4,2.0,2,50.0,0.8,2.0,3.0,66.7,9.0,2.0,22.2,23.8,4.0,25.0,32.5,8.0,0.0,0.0,0.0,7.0,85425
11,Corinthians,Santos,Cássio,br BRA,36-015,90,4,0.0,4,100.0,0.5,4.0,14.0,28.6,27.0,2.0,48.1,37.3,9.0,11.1,18.2,22.0,0.0,0.0,0.0,17.0,42234
11,Grêmio,América-MG,Brenno,br BRA,24-082,90,2,1.0,1,50.0,0.9,2.0,4.0,50.0,16.0,6.0,12.5,21.9,3.0,66.7,38.0,7.0,0.0,0.0,0.0,13.5,100830
11,América-MG,Grêmio,Matheus Cavichioli,br BRA,36-330,90,9,3.0,7,66.7,2.7,8.0,28.0,28.6,18.0,3.0,88.9,51.4,12.0,100.0,57.5,20.0,0.0,0.0,0.0,2.5,72580
11,Cuiabá,Botafogo,Walter,br BRA,35-216,90,3,1.0,2,100.0,1.2,1.0,3.0,33.3,16.0,2.0,12.5,22.7,3.0,33.3,29.0,9.0,1.0,11.1,1.0,14.5,51413
11,Botafogo,Cuiabá,Lucas Perri,br BRA,25-194,90,9,0.0,9,100.0,1.5,7.0,19.0,36.8,24.0,3.0,50.0,39.0,12.0,58.3,43.2,19.0,0.0,0.0,2.0,25.3,91260
11,Vasco,Goiás,Leonardo César Jardim,br BRA,28-094,90,1,1.0,0,0.0,,,,,,,,,,,,,,,,,87008
11,Goiás,Vasco,Tadeu,br BRA,31-138,90,4,0.0,4,100.0,0.3,11.0,22.0,50.0,27.0,7.0,55.6,41.5,11.0,63.6,45.0,36.0,3.0,8.3,2.0,14.8,82453
11,Coritiba,Internacional,Gabriel,br BRA,30-268,90,4,1.0,3,100.0,1.2,3.0,4.0,75.0,25.0,6.0,16.0,26.4,1.0,0.0,21.0,7.0,0.0,0.0,1.0,18.7,70449
11,Internacional,Coritiba,John,br BRA,27-129,90,4,0.0,4,100.0,1.6,7.0,19.0,36.8,22.0,2.0,54.5,41.9,10.0,70.0,47.1,21.0,0.0,0.0,2.0,13.1,94044
11,Bahia,Palmeiras,Marcos Felipe,br BRA,27-069,90,2,0.0,2,100.0,0.2,6.0,17.0,35.3,33.0,2.0,33.3,32.4,8.0,75.0,48.6,15.0,1.0,6.7,0.0,4.0,85004
11,Palmeiras,Bahia,Marcelo Lomba,br BRA,36-185,90,3,1.0,2,66.7,1.2,4.0,6.0,66.7,22.0,9.0,22.7,28.2,3.0,33.3,30.7,11.0,0.0,0.0,0.0,,68872
11,Fluminense,Atlético-MG,Fábio,br BRA,42-264,90,6,1.0,6,83.3,1.7,0.0,0.0,,24.0,5.0,0.0,19.2,6.0,0.0,12.5,16.0,3.0,18.8,3.0,18.9,37656
11,Atlético-MG,Fluminense,Éverson,br BRA,32-334,90,4,1.0,3,75.0,0.6,8.0,19.0,42.1,29.0,3.0,62.1,49.3,3.0,33.3,34.7,9.0,0.0,0.0,0.0,,72294
11,Bragantino,Flamengo,Lucão,br BRA,22-116,90,0,0.0,0,,0.0,3.0,8.0,37.5,26.0,6.0,26.9,32.9,5.0,20.0,26.4,4.0,0.0,0.0,4.0,19.8,106160
11,Flamengo,Bragantino,Matheus Cunha,br BRA,22-029,90,13,4.0,9,69.2,3.8,1.0,12.0,8.3,34.0,7.0,32.4,30.2,5.0,20.0,32.0,28.0,1.0,3.6,1.0,14.5,111690
12,Athlético-PR,Corinthians,Bento,br BRA,24-014,90,3,0.0,3,100.0,0.4,3.0,13.0,23.1,15.0,6.0,40.0,34.4,10.0,70.0,51.3,20.0,3.0,15.0,1.0,10.6,105208
12,Corinthians,Athlético-PR,Cássio,br BRA,36-018,90,6,1.0,5,83.3,2.0,5.0,11.0,45.5,16.0,3.0,43.8,37.8,9.0,44.4,32.9,11.0,0.0,0.0,0.0,6.5,42234
12,Fluminense,Bahia,Fábio,br BRA,42-267,90,3,1.0,2,66.7,1.6,2.0,12.0,16.7,20.0,4.0,25.0,28.4,11.0,63.6,39.7,18.0,3.0,16.7,1.0,11.8,37656
12,Bahia,Fluminense,Danilo Fernandes,br BRA,35-082,37,6,,6,,1.5,1.0,6.0,16.7,10.0,1.0,40.0,35.3,4.0,50.0,34.5,7.0,1.0,14.3,,10.0,69051
12,Bahia,Fluminense,Mateus Claus,br BRA,28-325,53,3,2.0,1,33.3,1.0,1.0,1.0,100.0,7.0,1.0,14.3,23.7,5.0,0.0,19.4,4.0,0.0,0.0,0.0,,90590
12,Fortaleza,Atlético-MG,João Ricardo Riedi,br BRA,34-291,90,4,1.0,3,75.0,0.5,3.0,11.0,27.3,14.0,5.0,42.9,41.1,11.0,45.5,38.4,14.0,3.0,21.4,0.0,4.2,81881
12,Atlético-MG,Fortaleza,Éverson,br BRA,32-337,90,3,2.0,1,33.3,1.9,2.0,7.0,28.6,28.0,2.0,25.0,30.5,3.0,0.0,20.0,11.0,0.0,0.0,1.0,48.0,72294
12,Grêmio,Coritiba,Gabriel Chapecó,br BRA,23-088,90,7,1.0,6,85.7,0.8,4.0,13.0,30.8,23.0,4.0,30.4,37.7,12.0,50.0,44.8,8.0,1.0,12.5,1.0,14.0,112616
12,Coritiba,Grêmio,Gabriel,br BRA,30-271,90,8,5.0,3,50.0,4.4,7.0,11.0,63.6,23.0,5.0,30.4,31.2,10.0,40.0,32.0,11.0,0.0,0.0,0.0,,70449
12,Palmeiras,Botafogo,Wéverton,br BRA,35-194,90,2,1.0,1,50.0,0.5,1.0,5.0,20.0,19.0,5.0,26.3,29.9,4.0,0.0,12.8,6.0,1.0,16.7,0.0,11.0,71631
12,Botafogo,Palmeiras,Lucas Perri,br BRA,25-197,90,4,0.0,4,100.0,0.4,5.0,28.0,17.9,26.0,6.0,73.1,51.2,12.0,75.0,54.1,38.0,3.0,7.9,4.0,14.4,91260
12,Bragantino,Goiás,Cleiton Schwengber,br BRA,25-310,90,0,0.0,0,,0.0,5.0,11.0,45.5,24.0,4.0,37.5,40.0,4.0,50.0,44.5,6.0,0.0,0.0,1.0,23.0,93882
12,Goiás,Bragantino,Tadeu,br BRA,31-141,90,6,2.0,4,66.7,1.8,7.0,21.0,33.3,37.0,4.0,54.1,41.1,6.0,16.7,26.7,24.0,1.0,4.2,0.0,10.5,82453
12,América-MG,Internacional,Matheus Cavichioli,br BRA,36-333,90,2,2.0,0,0.0,1.4,4.0,11.0,36.4,19.0,4.0,57.9,42.6,2.0,0.0,25.5,16.0,1.0,6.3,1.0,13.3,72580
12,Internacional,América-MG,John,br BRA,27-132,90,3,1.0,2,66.7,1.5,2.0,11.0,18.2,15.0,3.0,53.3,42.5,6.0,50.0,39.7,28.0,0.0,0.0,0.0,3.0,94044
12,Santos,Flamengo,João Paulo,br BRA,27-361,90,4,3.0,1,25.0,1.6,3.0,10.0,30.0,17.0,1.0,52.9,41.9,6.0,16.7,24.3,13.0,1.0,7.7,3.0,19.0,85425
12,Flamengo,Santos,Matheus Cunha,br BRA,22-032,90,6,2.0,4,66.7,2.4,4.0,13.0,30.8,49.0,5.0,22.4,25.6,3.0,66.7,49.3,7.0,0.0,0.0,0.0,,111690
12,Cruzeiro,São Paulo,Rafael Cabral,br BRA,33-035,90,8,0.0,8,100.0,3.2,14.0,24.0,58.3,26.0,2.0,65.4,47.6,8.0,87.5,56.3,18.0,0.0,0.0,0.0,,68940
12,São Paulo,Cruzeiro,Rafael Pires,br BRA,34-001,90,0,1.0,0,,0.0,2.0,5.0,40.0,24.0,5.0,16.7,27.2,11.0,9.1,19.5,13.0,0.0,0.0,0.0,5.0,68928
12,Vasco,Cuiabá,Leonardo César Jardim,br BRA,28-098,90,3,0.0,3,100.0,,,,,,,,,,,,,,,,,87008
12,Cuiabá,Vasco,Walter,br BRA,35-220,90,2,1.0,1,100.0,1.1,9.0,14.0,64.3,20.0,3.0,60.0,38.6,5.0,40.0,34.6,6.0,0.0,0.0,0.0,8.3,51413
13,São Paulo,Fluminense,Rafael Pires,br BRA,34-008,90,2,0.0,2,100.0,0.7,6.0,11.0,54.5,22.0,3.0,45.5,36.4,4.0,25.0,34.8,3.0,0.0,0.0,0.0,15.0,68928
13,Fluminense,São Paulo,Fábio,br BRA,42-274,90,4,1.0,3,75.0,1.5,5.0,10.0,50.0,33.0,6.0,15.2,21.8,12.0,41.7,26.3,24.0,2.0,8.3,2.0,13.6,37656
13,Bahia,Grêmio,Marcos Felipe,br BRA,27-079,90,7,2.0,5,71.4,2.4,9.0,18.0,50.0,24.0,4.0,54.2,37.8,9.0,55.6,46.2,7.0,1.0,14.3,0.0,6.0,85004
13,Grêmio,Bahia,Gabriel Chapecó,br BRA,23-094,90,4,1.0,3,75.0,1.1,5.0,11.0,45.5,14.0,4.0,35.7,34.9,10.0,60.0,42.4,17.0,2.0,11.8,1.0,10.0,112616
13,Flamengo,Fortaleza,Matheus Cunha,br BRA,22-038,90,5,0.0,4,100.0,1.6,4.0,14.0,28.6,43.0,4.0,32.6,28.5,8.0,0.0,12.8,19.0,0.0,0.0,1.0,18.0,111690
13,Fortaleza,Flamengo,João Ricardo Riedi,br BRA,34-298,90,4,2.0,2,50.0,1.5,5.0,9.0,55.6,10.0,2.0,50.0,38.2,7.0,57.1,40.1,11.0,0.0,0.0,0.0,3.0,81881
13,Corinthians,Bragantino,Cássio,br BRA,36-026,90,5,1.0,4,80.0,1.4,5.0,13.0,38.5,24.0,2.0,50.0,34.9,13.0,7.7,18.3,14.0,0.0,0.0,1.0,13.5,42234
13,Bragantino,Corinthians,Cleiton Schwengber,br BRA,25-317,90,4,0.0,4,100.0,0.6,8.0,24.0,33.3,31.0,6.0,67.7,48.0,8.0,37.5,37.8,12.0,1.0,8.3,0.0,9.7,93882
13,Botafogo,Vasco,Lucas Perri,br BRA,25-204,90,4,0.0,4,100.0,0.9,13.0,19.0,68.4,22.0,9.0,68.2,44.2,6.0,66.7,42.3,19.0,3.0,15.8,1.0,13.0,91260
13,Vasco,Botafogo,Leonardo César Jardim,br BRA,28-104,90,6,2.0,4,66.7,,,,,,,,,,,,,,,,,87008
