atleta_id,apelido,clube_id,clube_name,player_position,med_chutes_no_gol,med_desarmes_executado,med_faltas_sofridas,med_chutes_fora,med_gols,med_assistencias
100079,Zaracho,282,Atlético-MG,mei,0.1,2.5,1.5,0.3,0.0,0.0
100084,Igor Gomes,282,Atlético-MG,mei,0.0,1.6666666666666667,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666
100453,Luis Segovia,263,Botafogo,zag,0.0,0.0,0.5,0.0,0.0,0.0
100652,Yuri Alberto,264,Corinthians,ata,0.45454545454545453,0.2727272727272727,1.3636363636363635,0.6363636363636364,0.18181818181818182,0.09090909090909091
100761,Liziero,294,Coritiba,mei,0.0,2.0,0.625,0.0,0.0,0.0
100830,Brenno,284,Grêmio,gol,0.0,0.0,0.0,0.0,0.0,0.0
100969,Ronald Lopes,1371,Cuiabá,mei,0.1,1.2,0.8,0.3,0.1,0.0
101002,Júnior Santos,263,Botafogo,ata,0.36363636363636365,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.18181818181818182,0.0
101027,Diego,290,Goiás,mei,0.0,1.4444444444444444,2.7777777777777777,0.5555555555555556,0.0,0.1111111111111111
101201,Vitor Jacaré,265,Bahia,ata,0.2857142857142857,3.0,1.2857142857142858,1.1428571428571428,0.14285714285714285,0.0
101254,Alef Manga,294,Coritiba,ata,0.8571428571428571,1.0,0.8571428571428571,1.2857142857142858,0.14285714285714285,0.2857142857142857
101314,Ademir,265,Bahia,ata,0.3,0.4,2.8,0.3,0.1,0.0
101319,Guga,266,Fluminense,lat,0.0,1.7,1.4,0.1,0.0,0.1
101405,Wallisson,283,Cruzeiro,mei,0.25,1.625,1.0,0.625,0.0,0.0
101573,Pepê,284,Grêmio,mei,0.0,6.0,5.0,1.0,0.0,0.0
101579,Robson Bambu,267,Vasco,zag,0.0,1.125,1.625,0.125,0.0,0.0
101594,Hugo Moura,293,Athlético-PR,mei,0.0,2.3333333333333335,1.1111111111111112,0.3333333333333333,0.0,0.1111111111111111
101684,Philippe Costa,290,Goiás,ata,0.0,0.0,0.0,0.0,0.0,0.0
101708,Felipe Jonatan,277,Santos,lat,0.0,2.0,0.0,0.0,0.0,0.0
101715,Alerrandro,280,Bragantino,ata,0.0,0.0,1.0,0.25,0.25,0.0
101720,Miranda,267,Vasco,zag,0.0,2.0,0.6666666666666666,0.3333333333333333,0.0,0.0
101725,Matheusinho,290,Goiás,mei,0.0,0.0,0.25,0.0,0.0,0.0
101728,Diego Costa,276,São Paulo,zag,0.0,0.6,0.0,0.2,0.0,0.0
101960,Vitinho,280,Bragantino,ata,1.125,0.75,1.625,1.125,0.125,0.0
101995,Brítez,356,Fortaleza,zag,0.1,1.1,0.8,0.4,0.0,0.1
102130,Piquerez,275,Palmeiras,lat,0.14285714285714285,2.142857142857143,1.0,0.14285714285714285,0.0,0.42857142857142855
102253,Lucas Halter,290,Goiás,zag,0.0,1.5,0.375,0.375,0.125,0.0
102290,Gabriel Mesquita,283,Cruzeiro,gol,0.0,0.0,0.0,0.0,0.0,0.0
102299,Mikael,327,América-MG,ata,0.5,0.25,0.5,1.25,0.0,0.0
102310,Matheus Felipe,293,Athlético-PR,zag,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
102318,Caio Paulista,276,São Paulo,lat,0.7272727272727273,0.8181818181818182,1.4545454545454546,0.5454545454545454,0.0,0.18181818181818182
102561,Mastriani,327,América-MG,ata,0.5,0.5,0.5,0.0,0.0,0.0
102598,Helinho,280,Bragantino,ata,0.8888888888888888,1.0,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.0
102878,Terans,293,Athlético-PR,mei,0.2857142857142857,0.2857142857142857,1.2857142857142858,1.0,0.0,0.0
102909,Luan,276,São Paulo,mei,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
102911,Zé Ricardo,290,Goiás,mei,0.6,2.3,3.2,0.5,0.0,0.1
102928,Canobbio,293,Athlético-PR,ata,0.75,1.625,1.25,0.625,0.125,0.125
103014,Laquintana,280,Bragantino,ata,1.0,0.5,1.0,0.0,0.0,0.0
103076,Mateus Gonçalves,327,América-MG,ata,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
103295,Eric Ramires,280,Bragantino,mei,0.5,0.75,0.75,0.25,0.0,0.0
103347,Matheus Alexandre,1371,Cuiabá,lat,0.1,3.0,0.2,0.3,0.0,0.0
103388,Emmanuel Martínez,327,América-MG,mei,0.1,0.7,1.3,0.3,0.0,0.3
103575,Caetano,264,Corinthians,zag,0.0,1.5,3.0,0.0,0.0,0.0
103576,Rafael Bilu,283,Cruzeiro,ata,0.0,1.0,0.75,0.75,0.0,0.0
103645,Marcos Paulo,276,São Paulo,ata,0.09090909090909091,1.1818181818181819,1.0,0.36363636363636365,0.18181818181818182,0.09090909090909091
