scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto
"{'CA': 2, 'DS': 6, 'FC': 5, 'FD': 3, 'FF': 5, 'FS': 13, 'G': 3, 'I': 2, 'PP': 1}",80196,14,356,4,7,9.7,8.83,2.1,2.69,14,7.01,"{'media_pontos_mandante': 3.014285714285714, 'media_pontos_visitante': 2.3571428571428568, 'media_minutos_jogados': 48, 'minutos_jogados': 24, 'scouts': {'media': {'FS': 0.93, 'G': 0.21, 'I': 0.14, 'DS': 0.43, 'FC': 0.36, 'CA': 0.14, 'PP': 0.07, 'FF': 0.36, 'FD': 0.21}, 'mandante': {'FS': 10, 'G': 1, 'I': 2, 'DS': 5, 'FC': 3, 'CA': 2, 'FF': 5, 'FD': 1}, 'visitante': {'FS': 3, 'G': 2, 'DS': 1, 'FC': 2, 'PP': 1, 'FD': 2}}}",yago-pikachu,Yago Pikachu,Y. Pikachu,Glaybson Yago Souza Lisboa,https://s.sde.globo.com/media/person_role/2023/05/06/photo_220x220_jUc4EZ2.png
"{'A': 1, 'CA': 3, 'DS': 18, 'FC': 21, 'FD': 3, 'FF': 4, 'FS': 18, 'G': 3, 'PS': 1, 'SG': 5}",88393,14,262,2,3,-1.7,14.42,-1.64,5.94,14,-1.45,"{'media_pontos_mandante': 8.114285714285714, 'media_pontos_visitante': 3.757142857142857, 'media_minutos_jogados': 83, 'minutos_jogados': 104, 'scouts': {'media': {'SG': 0.36, 'FS': 1.29, 'A': 0.07, 'G': 0.21, 'DS': 1.29, 'FC': 1.5, 'CA': 0.21, 'FF': 0.29, 'FD': 0.21, 'PS': 0.07}, 'mandante': {'SG': 5, 'FS': 8, 'G': 2, 'DS': 9, 'FC': 10, 'CA': 1, 'FF': 2, 'FD': 2, 'PS': 1}, 'visitante': {'FS': 10, 'A': 1, 'G': 1, 'DS': 9, 'FC': 11, 'CA': 2, 'FF': 2, 'FD': 1}}}",ayrton-lucas,Ayrton Lucas,A. Lucas,Ayrton Lucas Dantas de Medeiros,https://s.sde.globo.com/media/person_role/2023/04/11/photo_220x220_P9K1v1H.png
"{'CA': 2, 'DS': 6, 'FC': 6, 'FD': 5, 'FF': 7, 'FS': 11, 'G': 2, 'I': 4}",71844,14,356,5,7,5.2,7.05,0.58,3.28,11,3.71,"{'media_pontos_mandante': 4.428571428571428, 'media_pontos_visitante': 1.275, 'media_minutos_jogados': 85, 'minutos_jogados': 102, 'scouts': {'media': {'FS': 1, 'G': 0.18, 'I': 0.36, 'DS': 0.55, 'FC': 0.55, 'CA': 0.18, 'FF': 0.64, 'FD': 0.45}, 'mandante': {'FS': 7, 'G': 2, 'I': 2, 'DS': 4, 'FC': 3, 'CA': 1, 'FF': 5, 'FD': 4}, 'visitante': {'FS': 4, 'I': 2, 'DS': 2, 'FC': 3, 'CA': 1, 'FF': 2, 'FD': 1}}}",thiago-galhardo,Thiago Galhardo,T. Galhardo,Thiago Galhardo do Nascimento Rocha,https://s.sde.globo.com/media/person_role/2023/05/06/photo_220x220_LaKDS7J.png
"{'CA': 4, 'DS': 9, 'FC': 12, 'FF': 3, 'FS': 7, 'G': 1}",98619,14,294,3,7,1.0,3.41,-1.04,1.9,9,0.71,"{'media_pontos_mandante': 1.325, 'media_pontos_visitante': 2.3600000000000003, 'media_minutos_jogados': 100, 'minutos_jogados': 101, 'scouts': {'media': {'FS': 0.78, 'G': 0.11, 'DS': 1, 'FC': 1.33, 'CA': 0.44, 'FF': 0.33}, 'mandante': {'FS': 4, 'DS': 3, 'FC': 3, 'CA': 1, 'FF': 2}, 'visitante': {'FS': 3, 'G': 1, 'DS': 6, 'FC': 9, 'CA': 3, 'FF': 1}}}",kuscevic,Kuscevic,Kuscevic,Benjamín Kuščević Jaramillo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_220x220_qacVCwx.png
"{'A': 1, 'CA': 1, 'DS': 12, 'FC': 8, 'FD': 7, 'FF': 9, 'FS': 20, 'FT': 3, 'G': 4, 'I': 3}",95799,14,275,5,7,2.9,11.48,-0.38,6.33,13,1.9,"{'media_pontos_mandante': 6.285714285714286, 'media_pontos_visitante': 6.383333333333333, 'media_minutos_jogados': 85, 'minutos_jogados': 79, 'scouts': {'media': {'FS': 1.54, 'A': 0.08, 'FT': 0.23, 'G': 0.31, 'I': 0.23, 'DS': 0.92, 'FC': 0.62, 'CA': 0.08, 'FF': 0.69, 'FD': 0.54}, 'mandante': {'FS': 12, 'FT': 2, 'G': 2, 'I': 1, 'DS': 8, 'FC': 5, 'FF': 4, 'FD': 4}, 'visitante': {'FS': 8, 'A': 1, 'FT': 1, 'G': 2, 'I': 2, 'DS': 4, 'FC': 3, 'CA': 1, 'FF': 5, 'FD': 3}}}",artur,Artur,Artur,Artur Victor Guimarães,https://s.sde.globo.com/media/person_role/2023/03/31/photo_220x220_G1nE6cb.png
"{'CA': 3, 'DS': 2, 'FC': 14, 'FD': 7, 'FF': 7, 'FS': 10, 'FT': 1, 'G': 2, 'I': 8}",98225,14,267,5,6,0.0,5.81,-0.11,2.7,12,-0.07,"{'media_pontos_mandante': 3.7000000000000006, 'media_pontos_visitante': 1.7000000000000002, 'media_minutos_jogados': 79, 'minutos_jogados': 30, 'scouts': {'media': {'FS': 0.83, 'FT': 0.08, 'G': 0.17, 'I': 0.67, 'DS': 0.17, 'FC': 1.17, 'CA': 0.25, 'FF': 0.58, 'FD': 0.58}, 'mandante': {'FS': 6, 'FT': 1, 'G': 1, 'I': 3, 'FC': 7, 'CA': 1, 'FF': 4, 'FD': 7}, 'visitante': {'FS': 4, 'G': 1, 'I': 5, 'DS': 2, 'FC': 7, 'CA': 2, 'FF': 3}}}",pedro-raul,Pedro Raul,P. Raul,Pedro Raul Garay da Silva,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_IDn4App.png
"{'DS': 18, 'FC': 9, 'FD': 13, 'FF': 6, 'FS': 8, 'G': 3, 'I': 3}",99818,14,282,5,7,5.1,10.75,0.43,5.59,12,3.57,"{'media_pontos_mandante': 7.1499999999999995, 'media_pontos_visitante': 4.016666666666667, 'media_minutos_jogados': 88, 'minutos_jogados': 98, 'scouts': {'media': {'FS': 0.67, 'G': 0.25, 'I': 0.25, 'DS': 1.5, 'FC': 0.75, 'FF': 0.5, 'FD': 1.08}, 'mandante': {'FS': 3, 'G': 2, 'I': 2, 'DS': 10, 'FC': 4, 'FF': 5, 'FD': 9}, 'visitante': {'FS': 5, 'G': 1, 'I': 1, 'DS': 8, 'FC': 5, 'FF': 1, 'FD': 4}}}",paulinho,Paulinho,Paulinho,Paulo Henrique Sampaio Filho,https://s.sde.globo.com/media/person_role/2023/03/31/photo_220x220_6AtAEsy.png
"{'CA': 2, 'DE': 36, 'FS': 4, 'GS': 14, 'SG': 4}",72294,14,282,1,7,0.0,5.38,-0.18,3.0,14,-0.08,"{'media_pontos_mandante': 1.5714285714285714, 'media_pontos_visitante': 4.428571428571429, 'media_minutos_jogados': 101, 'minutos_jogados': 98, 'scouts': {'media': {'SG': 0.29, 'FS': 0.29, 'CA': 0.14, 'DE': 2.57, 'GS': 1}, 'mandante': {'SG': 1, 'FS': 2, 'CA': 1, 'DE': 14, 'GS': 8}, 'visitante': {'SG': 3, 'FS': 2, 'CA': 1, 'DE': 22, 'GS': 6}}}",everson,Everson,Everson,Everson Felipe Marques Pires,https://s.sde.globo.com/media/person_role/2023/03/01/photo_220x220_XhJDp6n.png
"{'DS': 5, 'FC': 3, 'FS': 3}",63013,14,275,2,7,0.0,5.12,0.0,3.3,2,3.71,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': 95, 'minutos_jogados': 84, 'scouts': {'media': {'FS': 1.5, 'DS': 2.5, 'FC': 1.5}, 'mandante': {'FS': 1, 'DS': 4, 'FC': 2}, 'visitante': {'FS': 2, 'DS': 1, 'FC': 1}}}",marcos-rocha,Marcos Rocha,M. Rocha,Marcos Luis Rocha Aquino,https://s.sde.globo.com/media/person_role/2023/03/15/photo_220x220_OnxH8aq.png
"{'A': 1, 'DS': 11, 'FC': 8, 'FF': 3, 'FS': 5, 'I': 3, 'SG': 3}",105175,14,293,2,2,0.0,6.77,-0.05,3.55,10,-0.06,"{'media_pontos_mandante': 4.066666666666666, 'media_pontos_visitante': 2.75, 'media_minutos_jogados': 72, 'minutos_jogados': 48, 'scouts': {'media': {'SG': 0.3, 'FS': 0.5, 'A': 0.1, 'I': 0.3, 'DS': 1.1, 'FC': 0.8, 'FF': 0.3}, 'mandante': {'SG': 2, 'FS': 1, 'A': 1, 'I': 2, 'DS': 7, 'FC': 3, 'FF': 2}, 'visitante': {'SG': 1, 'FS': 4, 'I': 1, 'DS': 4, 'FC': 5, 'FF': 1}}}",khellven,Khellven,Khellven,Khellven Douglas Silva Oliveira,https://s.sde.globo.com/media/person_role/2023/02/28/photo_220x220_7lRpDNN.png
