scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto
"{'A': 1, 'CA': 2, 'DS': 12, 'FC': 16, 'FD': 3, 'FF': 3, 'FS': 15, 'G': 3, 'PS': 1, 'SG': 4}",88393,11,262,2,7,0.0,14.86,-1.13,6.47,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",ayrton-lucas,Ayrton Lucas,A. Lucas,Ayrton Lucas Dantas de Medeiros,https://s.sde.globo.com/media/person_role/2023/04/11/photo_220x220_P9K1v1H.png
"{'CA': 2, 'DS': 2, 'FC': 3, 'FD': 4, 'FF': 2, 'FS': 11, 'G': 1}",71162,11,284,4,6,2.1,5.23,0.23,1.76,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",vina,Vina,Vina,Vinícius Goes Barbosa de Souza,https://s.sde.globo.com/media/person_role/2023/03/08/photo_220x220_q8oUM9e.png
"{'A': 1, 'CA': 2, 'DS': 2, 'FC': 14, 'FD': 7, 'FF': 10, 'FS': 8, 'FT': 4, 'G': 3, 'I': 6}",73850,11,327,5,7,4.3,9.11,0.44,5.7,10,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",aloisio,Aloísio,Aloísio,Aloísio dos Santos Gonçalves,https://s.sde.globo.com/media/person_role/2022/03/31/a411b722d7d0edc88f871c1a48191dc1_220x220.png
"{'CA': 3, 'CV': 1, 'DS': 12, 'FC': 8, 'FF': 3, 'FS': 3, 'G': 1, 'I': 2, 'SG': 1}",102253,11,290,3,7,8.5,5.84,1.19,2.84,8,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",lucas-halter,Lucas Halter,L. Halter,Lucas Halter,https://s.sde.globo.com/media/person_role/2023/03/11/photo_220x220_DlFIoVh.png
"{'A': 1, 'CA': 1, 'DS': 11, 'FC': 7, 'FD': 4, 'FF': 9, 'FS': 15, 'FT': 3, 'G': 4, 'I': 3}",95799,11,275,5,7,6.2,12.11,0.78,6.85,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",artur,Artur,Artur,Artur Victor Guimarães,https://s.sde.globo.com/media/person_role/2023/03/31/photo_220x220_G1nE6cb.png
"{'CA': 2, 'DS': 4, 'FC': 5, 'FD': 2, 'FF': 5, 'FS': 10, 'G': 2, 'I': 2}",80196,11,356,4,6,2.2,7.79,0.35,2.59,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",yago-pikachu,Yago Pikachu,Y. Pikachu,Glaybson Yago Souza Lisboa,https://s.sde.globo.com/media/person_role/2023/05/06/photo_220x220_jUc4EZ2.png
{},117579,11,276,4,5,0.0,5.0,0.0,0.0,0,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",galoppo,Galoppo,Galoppo,Giuliano Galoppo,https://s.sde.globo.com/media/person_role/2022/07/26/2ca20d35cbccce7d03bb8c585af8fddc_220x220.png
"{'DS': 5, 'FC': 3, 'FS': 3}",63013,11,275,2,6,0.0,5.12,0.0,3.3,2,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",marcos-rocha,Marcos Rocha,M. Rocha,Marcos Luis Rocha Aquino,https://s.sde.globo.com/media/person_role/2023/03/15/photo_220x220_OnxH8aq.png
"{'CA': 3, 'DS': 6, 'FC': 8, 'FF': 3, 'FS': 4}",98619,11,294,3,2,0.8,3.0,-0.12,1.03,6,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",kuscevic,Kuscevic,Kuscevic,Benjamín Kuščević Jaramillo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_220x220_qacVCwx.png
"{'CA': 3, 'DS': 2, 'FC': 11, 'FD': 7, 'FF': 6, 'FS': 9, 'FT': 1, 'G': 2, 'I': 8}",98225,11,267,5,2,1.1,6.27,0.13,3.21,10,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",pedro-raul,Pedro Raul,P. Raul,Pedro Raul Garay da Silva,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_IDn4App.png
