atleta_id,apelido,clube_id,clube_name,player_position,med_chutes_no_gol,med_desarmes_executado,med_faltas_sofridas,med_chutes_fora,med_gols,med_assistencias
100079,Zaracho,282,Atlético-MG,mei,0.07692307692307693,2.0,1.3076923076923077,0.38461538461538464,0.07692307692307693,0.0
100084,Igor Gomes,282,Atlético-MG,mei,0.07142857142857142,1.0714285714285714,0.7857142857142857,0.35714285714285715,0.0,0.07142857142857142
100085,Pedro Augusto,356,Fortaleza,mei,0.3333333333333333,1.0,1.0,0.0,0.0,0.0
100103,Pedrinho,327,América-MG,ata,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0
100333,Paulinho Bóia,327,América-MG,ata,0.0,1.0,1.6666666666666667,0.0,0.0,0.0
100453,Luis Segovia,263,Botafogo,zag,0.0,0.0,0.5,0.0,0.0,0.0
100652,Yuri Alberto,264,Corinthians,ata,0.4444444444444444,0.6666666666666666,1.7777777777777777,0.5555555555555556,0.2222222222222222,0.1111111111111111
100761,Liziero,294,Coritiba,mei,0.0,1.8,0.6,0.0,0.0,0.0
100830,Brenno,284,Grêmio,gol,0.0,0.0,0.0,0.0,0.0,0.0
100848,Luan Cândido,280,Bragantino,lat,0.5,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0
100969,Ronald Lopes,1371,Cuiabá,mei,0.07142857142857142,0.8571428571428571,0.5714285714285714,0.21428571428571427,0.07142857142857142,0.0
100987,Nonato,277,Santos,mei,0.0,0.0,1.0,0.0,0.0,0.0
101002,Júnior Santos,263,Botafogo,ata,0.35,0.9,0.65,0.65,0.1,0.0
101027,Diego,290,Goiás,mei,0.0,1.4444444444444444,2.7777777777777777,0.5555555555555556,0.0,0.1111111111111111
101201,Vitor Jacaré,265,Bahia,ata,0.45454545454545453,2.0,0.9090909090909091,1.0,0.09090909090909091,0.0
101254,Alef Manga,294,Coritiba,ata,0.6666666666666666,0.8888888888888888,1.2222222222222223,1.1111111111111112,0.3333333333333333,0.2222222222222222
101290,Ferreira,284,Grêmio,ata,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.2857142857142857
101314,Ademir,265,Bahia,ata,0.3888888888888889,0.8888888888888888,3.2222222222222223,0.5555555555555556,0.05555555555555555,0.05555555555555555
101319,Guga,266,Fluminense,lat,0.0,1.3076923076923077,1.0769230769230769,0.07692307692307693,0.0,0.07692307692307693
101405,Wallisson,283,Cruzeiro,mei,0.2727272727272727,1.5454545454545454,0.8181818181818182,0.5454545454545454,0.0,0.0
101573,Pepê,284,Grêmio,mei,0.0,3.3333333333333335,2.3333333333333335,0.6666666666666666,0.0,0.0
101579,Robson Bambu,267,Vasco,zag,0.0,1.3846153846153846,1.0769230769230769,0.07692307692307693,0.0,0.0
101594,Hugo Moura,293,Athlético-PR,mei,0.058823529411764705,1.8823529411764706,0.7058823529411765,0.17647058823529413,0.0,0.058823529411764705
101600,Alex,277,Santos,zag,0.25,1.5,0.5,0.0,0.0,0.0
101684,Philippe Costa,290,Goiás,ata,0.25,0.0,0.25,0.25,0.0,0.0
101708,Felipe Jonatan,277,Santos,lat,0.0,2.0,0.0,0.0,0.0,0.0
101715,Alerrandro,280,Bragantino,ata,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0
101720,Miranda,267,Vasco,zag,0.16666666666666666,1.1666666666666667,0.3333333333333333,0.3333333333333333,0.0,0.0
101725,Matheusinho,290,Goiás,mei,0.0,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0
101728,Diego Costa,276,São Paulo,zag,0.18181818181818182,1.0,0.09090909090909091,0.09090909090909091,0.0,0.0
101960,Vitinho,280,Bragantino,ata,0.6666666666666666,0.8666666666666667,1.6666666666666667,1.2666666666666666,0.06666666666666667,0.13333333333333333
101995,Brítez,356,Fortaleza,zag,0.11764705882352941,1.2352941176470589,1.0,0.47058823529411764,0.0,0.058823529411764705
102096,Anderson Oliveira,290,Goiás,ata,0.0,1.4285714285714286,0.8571428571428571,0.42857142857142855,0.0,0.0
102130,Piquerez,275,Palmeiras,lat,0.07692307692307693,1.8461538461538463,1.0,0.3076923076923077,0.0,0.23076923076923078
102253,Lucas Halter,290,Goiás,zag,0.0,1.125,0.25,0.25,0.125,0.0
102290,Gabriel Mesquita,283,Cruzeiro,gol,0.0,0.0,0.0,0.0,0.0,0.0
102299,Mikael,327,América-MG,ata,0.4,0.2,0.4,1.0,0.0,0.0
102302,Rafael Elias,283,Cruzeiro,ata,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
102310,Matheus Felipe,293,Athlético-PR,zag,0.2,0.4,0.0,0.2,0.0,0.0
102318,Caio Paulista,276,São Paulo,lat,0.625,0.6875,1.3125,0.4375,0.0,0.125
102340,Cacá,293,Athlético-PR,zag,0.0,2.5,0.0,0.5,0.0,0.0
102561,Mastriani,327,América-MG,ata,0.375,0.25,0.25,0.875,0.375,0.0
102598,Helinho,280,Bragantino,ata,0.8888888888888888,1.0,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.0
102878,Terans,293,Athlético-PR,mei,0.2222222222222222,0.2222222222222222,1.1111111111111112,0.7777777777777778,0.0,0.0
102906,Anderson,283,Cruzeiro,gol,0.0,0.0,0.0,0.0,0.0,0.0
102909,Luan,276,São Paulo,mei,0.0,1.0,0.125,0.25,0.0,0.0
