scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto
"{'A': 1, 'CA': 2, 'DS': 16, 'FC': 16, 'FD': 3, 'FF': 3, 'FS': 15, 'G': 3, 'PS': 1, 'SG': 4}",88393,12,262,2,7,4.8,15.49,0.63,6.33,12,3.02,"{'media_pontos_mandante': 7.983333333333333, 'media_pontos_visitante': 4.666666666666667, 'media_minutos_jogados': 80, 'minutos_jogados': 86, 'scouts': {'media': {'SG': 0.33, 'FS': 1.25, 'A': 0.08, 'G': 0.25, 'DS': 1.33, 'FC': 1.33, 'CA': 0.17, 'FF': 0.25, 'FD': 0.25, 'PS': 0.08}, 'mandante': {'SG': 4, 'FS': 6, 'G': 2, 'DS': 7, 'FC': 9, 'CA': 1, 'FF': 1, 'FD': 2, 'PS': 1}, 'visitante': {'FS': 9, 'A': 1, 'G': 1, 'DS': 9, 'FC': 7, 'CA': 1, 'FF': 2, 'FD': 1}}}",ayrton-lucas,Ayrton Lucas,A. Lucas,Ayrton Lucas Dantas de Medeiros,https://s.sde.globo.com/media/person_role/2023/04/11/photo_220x220_P9K1v1H.png
"{'CA': 1, 'DS': 3, 'FC': 2, 'FD': 4, 'FF': 3, 'FS': 7, 'G': 2, 'I': 2}",71844,12,356,5,6,1.7,6.44,-0.11,3.17,9,1.06,"{'media_pontos_mandante': 4.3, 'media_pontos_visitante': 0.8999999999999999, 'media_minutos_jogados': 81, 'minutos_jogados': 80, 'scouts': {'media': {'FS': 0.78, 'G': 0.22, 'I': 0.22, 'DS': 0.33, 'FC': 0.22, 'CA': 0.11, 'FF': 0.33, 'FD': 0.44}, 'mandante': {'FS': 5, 'G': 2, 'DS': 2, 'FC': 1, 'FF': 2, 'FD': 3}, 'visitante': {'FS': 2, 'I': 2, 'DS': 1, 'FC': 1, 'CA': 1, 'FF': 1, 'FD': 1}}}",thiago-galhardo,Thiago Galhardo,T. Galhardo,Thiago Galhardo do Nascimento Rocha,https://s.sde.globo.com/media/person_role/2023/05/06/photo_220x220_LaKDS7J.png
"{'CA': 3, 'DS': 2, 'FC': 11, 'FD': 7, 'FF': 6, 'FS': 9, 'FT': 1, 'G': 2, 'I': 8}",98225,12,267,5,6,0.0,6.27,0.0,3.21,10,0.99,"{'media_pontos_mandante': 4.44, 'media_pontos_visitante': 1.9600000000000002, 'media_minutos_jogados': 81, 'minutos_jogados': 36, 'scouts': {'media': {'FS': 0.9, 'FT': 0.1, 'G': 0.2, 'I': 0.8, 'DS': 0.2, 'FC': 1.1, 'CA': 0.3, 'FF': 0.6, 'FD': 0.7}, 'mandante': {'FS': 6, 'FT': 1, 'G': 1, 'I': 3, 'FC': 7, 'CA': 1, 'FF': 4, 'FD': 7}, 'visitante': {'FS': 3, 'G': 1, 'I': 5, 'DS': 2, 'FC': 4, 'CA': 2, 'FF': 2}}}",pedro-raul,Pedro Raul,P. Raul,Pedro Raul Garay da Silva,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_IDn4App.png
"{'CA': 2, 'DS': 4, 'FC': 4, 'FD': 5, 'FF': 3, 'FS': 11, 'G': 1}",71162,12,284,4,6,4.1,5.63,0.4,1.95,12,2.63,"{'media_pontos_mandante': 1.257142857142857, 'media_pontos_visitante': 2.9400000000000004, 'media_minutos_jogados': 58, 'minutos_jogados': 64, 'scouts': {'media': {'FS': 0.92, 'G': 0.08, 'DS': 0.33, 'FC': 0.33, 'CA': 0.17, 'FF': 0.25, 'FD': 0.42}, 'mandante': {'FS': 5, 'DS': 3, 'FC': 3, 'CA': 2, 'FF': 1, 'FD': 4}, 'visitante': {'FS': 6, 'G': 1, 'DS': 1, 'FC': 1, 'FF': 2, 'FD': 1}}}",vina,Vina,Vina,Vinícius Goes Barbosa de Souza,https://s.sde.globo.com/media/person_role/2023/03/08/photo_220x220_q8oUM9e.png
"{'CA': 3, 'DS': 9, 'FC': 13, 'FD': 1, 'FF': 4, 'FS': 5, 'G': 1, 'I': 2, 'SG': 4}",87225,12,293,3,6,4.3,9.79,0.49,4.28,9,2.74,"{'media_pontos_mandante': 4.933333333333334, 'media_pontos_visitante': 3, 'media_minutos_jogados': 89, 'minutos_jogados': 102, 'scouts': {'media': {'SG': 0.44, 'FS': 0.56, 'G': 0.11, 'I': 0.22, 'DS': 1, 'FC': 1.44, 'CA': 0.33, 'FF': 0.44, 'FD': 0.11}, 'mandante': {'SG': 3, 'FS': 2, 'G': 1, 'I': 1, 'DS': 6, 'FC': 9, 'CA': 2, 'FF': 4}, 'visitante': {'SG': 1, 'FS': 3, 'I': 1, 'DS': 3, 'FC': 4, 'CA': 1, 'FD': 1}}}",pedro-henrique,Pedro Henrique,P. Henrique,Pedro Henrique Ribeiro Gonçalves,https://s.sde.globo.com/media/person_role/2023/02/28/photo_220x220_Pmz9ta0.png
"{'CA': 2, 'DS': 5, 'FC': 5, 'FD': 2, 'FF': 5, 'FS': 12, 'G': 2, 'I': 2}",80196,12,356,4,6,2.2,7.77,-0.02,2.56,12,1.39,"{'media_pontos_mandante': 1.8999999999999997, 'media_pontos_visitante': 3.2166666666666663, 'media_minutos_jogados': 48, 'minutos_jogados': 100, 'scouts': {'media': {'FS': 1, 'G': 0.17, 'I': 0.17, 'DS': 0.42, 'FC': 0.42, 'CA': 0.17, 'FF': 0.42, 'FD': 0.17}, 'mandante': {'FS': 9, 'I': 2, 'DS': 4, 'FC': 3, 'CA': 2, 'FF': 5, 'FD': 1}, 'visitante': {'FS': 3, 'G': 2, 'DS': 1, 'FC': 2, 'FD': 1}}}",yago-pikachu,Yago Pikachu,Y. Pikachu,Glaybson Yago Souza Lisboa,https://s.sde.globo.com/media/person_role/2023/05/06/photo_220x220_jUc4EZ2.png
"{'A': 1, 'CA': 1, 'DS': 12, 'FC': 7, 'FD': 6, 'FF': 9, 'FS': 16, 'FT': 3, 'G': 4, 'I': 3}",95799,12,275,5,7,4.1,11.86,-0.25,6.62,12,2.56,"{'media_pontos_mandante': 6.8500000000000005, 'media_pontos_visitante': 6.383333333333333, 'media_minutos_jogados': 86, 'minutos_jogados': 80, 'scouts': {'media': {'FS': 1.33, 'A': 0.08, 'FT': 0.25, 'G': 0.33, 'I': 0.25, 'DS': 1, 'FC': 0.58, 'CA': 0.08, 'FF': 0.75, 'FD': 0.5}, 'mandante': {'FS': 8, 'FT': 2, 'G': 2, 'I': 1, 'DS': 8, 'FC': 4, 'FF': 4, 'FD': 3}, 'visitante': {'FS': 8, 'A': 1, 'FT': 1, 'G': 2, 'I': 2, 'DS': 4, 'FC': 3, 'CA': 1, 'FF': 5, 'FD': 3}}}",artur,Artur,Artur,Artur Victor Guimarães,https://s.sde.globo.com/media/person_role/2023/03/31/photo_220x220_G1nE6cb.png
"{'CA': 2, 'DE': 32, 'FS': 4, 'GS': 11, 'SG': 4}",72294,12,282,1,7,-1.0,5.4,-0.62,3.42,12,-0.71,"{'media_pontos_mandante': 2, 'media_pontos_visitante': 4.428571428571429, 'media_minutos_jogados': 101, 'minutos_jogados': 100, 'scouts': {'media': {'SG': 0.33, 'FS': 0.33, 'CA': 0.17, 'DE': 2.67, 'GS': 0.92}, 'mandante': {'SG': 1, 'FS': 2, 'CA': 1, 'DE': 10, 'GS': 5}, 'visitante': {'SG': 3, 'FS': 2, 'CA': 1, 'DE': 22, 'GS': 6}}}",everson,Everson,Everson,Everson Felipe Marques Pires,https://s.sde.globo.com/media/person_role/2023/03/01/photo_220x220_XhJDp6n.png
"{'CA': 4, 'DS': 8, 'FC': 11, 'FF': 3, 'FS': 5}",98619,12,294,3,2,1.0,3.02,0.02,1.03,7,0.63,"{'media_pontos_mandante': 1.4333333333333333, 'media_pontos_visitante': 0.725, 'media_minutos_jogados': 100, 'minutos_jogados': 98, 'scouts': {'media': {'FS': 0.71, 'DS': 1.14, 'FC': 1.57, 'CA': 0.57, 'FF': 0.43}, 'mandante': {'FS': 2, 'DS': 3, 'FC': 3, 'CA': 1, 'FF': 2}, 'visitante': {'FS': 3, 'DS': 5, 'FC': 8, 'CA': 3, 'FF': 1}}}",kuscevic,Kuscevic,Kuscevic,Benjamín Kuščević Jaramillo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_220x220_qacVCwx.png
"{'CA': 3, 'CV': 1, 'DS': 12, 'FC': 10, 'FF': 3, 'FS': 3, 'G': 1, 'I': 2, 'SG': 1}",102253,12,290,3,7,-0.6,4.51,-1.33,2.46,9,-0.43,"{'media_pontos_mandante': 1.725, 'media_pontos_visitante': 3.04, 'media_minutos_jogados': 101, 'minutos_jogados': 98, 'scouts': {'media': {'SG': 0.11, 'FS': 0.33, 'G': 0.11, 'I': 0.22, 'DS': 1.33, 'FC': 1.11, 'CA': 0.33, 'CV': 0.11, 'FF': 0.33}, 'mandante': {'FS': 3, 'G': 1, 'I': 1, 'DS': 2, 'FC': 5, 'CA': 2, 'CV': 1, 'FF': 2}, 'visitante': {'SG': 1, 'I': 1, 'DS': 10, 'FC': 5, 'CA': 1, 'FF': 1}}}",lucas-halter,Lucas Halter,L. Halter,Lucas Halter,https://s.sde.globo.com/media/person_role/2023/03/11/photo_220x220_DlFIoVh.png
